Feature	MeanAbsSHAP	model
ECFP_736	0.02326889	XGB
ECFP_692	0.023262495	XGB
ECFP_362	0.0232383187075416	LogReg
ECFP_673	0.023056451	XGB
ECFP_452	0.0230423858384604	LogReg
ECFP_250	0.0230350956554649	LogReg
ECFP_831	0.0227504732657643	LogReg
ECFP_904	0.022519628	XGB
ECFP_652	0.022392323	XGB
ECFP_622	0.022302744033564	LogReg
ECFP_428	0.022301685	XGB
ECFP_297	0.02222846	XGB
ECFP_14	0.02221351	XGB
ECFP_1017	0.022024682	XGB
ECFP_806	0.021848653	XGB
ECFP_250	0.02183198	XGB
ECFP_381	0.0216571132815409	LogReg
ECFP_197	0.021571595	XGB
ECFP_416	0.0214119660186925	LogReg
ECFP_979	0.021387445	XGB
ECFP_458	0.0210830647807729	LogReg
ECFP_389	0.021000389	XGB
ECFP_845	0.020879392	XGB
ECFP_693	0.020829245	XGB
ECFP_816	0.0207156030903801	LogReg
ECFP_288	0.020703314	XGB
ECFP_823	0.020383101	XGB
ECFP_913	0.0203796362299513	LogReg
ECFP_389	0.0202775758405716	LogReg
ECFP_673	0.0202756173861455	LogReg
ECFP_154	0.020157281	XGB
ECFP_922	0.0199310809628288	LogReg
ECFP_503	0.01992854	XGB
ECFP_219	0.0198201225738629	LogReg
ECFP_283	0.019762922	XGB
ECFP_193	0.0196330559232157	LogReg
ECFP_288	0.0195799941365356	LogReg
ECFP_698	0.0194294108886388	LogReg
ECFP_823	0.0192851036493403	LogReg
ECFP_283	0.0190187534920849	LogReg
ECFP_816	0.018971005	XGB
ECFP_138	0.018969113	XGB
ECFP_841	0.018671613	XGB
ECFP_416	0.018505363	XGB
ECFP_745	0.01840816	XGB
ECFP_843	0.018403571	XGB
ECFP_407	0.0182613098449747	LogReg
ECFP_361	0.018234128	XGB
ECFP_579	0.0181181756153329	LogReg
ECFP_464	0.0180024237230029	LogReg
ECFP_138	0.0179323825922867	LogReg
ECFP_14	0.0178444760929046	LogReg
ECFP_493	0.0178386604346694	LogReg
ECFP_453	0.0177833743043878	LogReg
ECFP_519	0.017729998	XGB
ECFP_806	0.0176955241436634	LogReg
ECFP_745	0.0175093421236041	LogReg
ECFP_831	0.017443273	XGB
ECFP_552	0.017442615844936	LogReg
ECFP_759	0.0174191711797799	LogReg
ECFP_675	0.0172379963457143	LogReg
ECFP_503	0.0170352579997118	LogReg
ECFP_739	0.016988346	XGB
ECFP_179	0.0169694930206951	LogReg
ECFP_557	0.016883533	XGB
ECFP_622	0.01685893	XGB
ECFP_589	0.0168174994891148	LogReg
ECFP_1004	0.0167381509068822	LogReg
ECFP_946	0.0167290707548336	LogReg
ECFP_713	0.016701212	XGB
ECFP_268	0.0166415710553424	LogReg
ECFP_887	0.0165979719392559	LogReg
ECFP_5	0.0165976746458441	LogReg
ECFP_32	0.0164520702202095	LogReg
ECFP_79	0.0163635688920006	LogReg
ECFP_117	0.0163606777992873	LogReg
ECFP_754	0.016309174	XGB
ECFP_11	0.016268207067707	LogReg
ECFP_295	0.0162590356665005	LogReg
ECFP_175	0.016179904	XGB
ECFP_694	0.0161474499262593	LogReg
ECFP_526	0.0161321616394438	LogReg
ECFP_798	0.01596842	XGB
ECFP_451	0.0159187541044372	LogReg
ECFP_898	0.015874922	XGB
ECFP_311	0.015828913029006	LogReg
ECFP_754	0.0157274612030356	LogReg
ECFP_12	0.01569966	XGB
ECFP_665	0.0156714792313428	LogReg
ECFP_406	0.0156673187965644	LogReg
ECFP_739	0.015656858310637	LogReg
ECFP_557	0.0156113810054273	LogReg
ECFP_492	0.0153470537110783	LogReg
ECFP_842	0.015335354	XGB
ECFP_489	0.0152904927865167	LogReg
ECFP_721	0.01526471	XGB
ECFP_79	0.015259802	XGB
ECFP_887	0.015206886	XGB
ECFP_343	0.015205388042002	LogReg
ECFP_255	0.015167773	XGB
ECFP_197	0.0151627821844948	LogReg
ECFP_787	0.0151230764565809	LogReg
ECFP_419	0.015092587	XGB
ECFP_398	0.0150683664226257	LogReg
ECFP_451	0.015068026	XGB
ECFP_917	0.0150612413744592	LogReg
ECFP_584	0.0149448365	XGB
ECFP_956	0.0148583262748434	LogReg
ECFP_798	0.0148180049260404	LogReg
ECFP_453	0.014778313	XGB
ECFP_708	0.0147539641740095	LogReg
ECFP_967	0.014680052	XGB
ECFP_102	0.0146160740201715	LogReg
ECFP_12	0.0145603727721042	LogReg
ECFP_918	0.014546910942644	LogReg
ECFP_904	0.0145084119118884	LogReg
ECFP_979	0.0144898159319796	LogReg
ECFP_263	0.0144569611994184	LogReg
ECFP_301	0.014071216	XGB
ECFP_932	0.0140559112859425	LogReg
ECFP_484	0.0140364240212538	LogReg
ECFP_801	0.0140261862801896	LogReg
ECFP_34	0.014014569	XGB
ECFP_843	0.0139451791627316	LogReg
ECFP_214	0.0139227588050645	LogReg
ECFP_179	0.013920216	XGB
ECFP_131	0.0139013948717512	LogReg
ECFP_575	0.0138946530981427	LogReg
ECFP_932	0.0138872415	XGB
ECFP_139	0.01381559189178	LogReg
ECFP_891	0.013799745	XGB
ECFP_584	0.0137234834528258	LogReg
ECFP_268	0.013681379	XGB
ECFP_398	0.013636756	XGB
ECFP_533	0.0135894118214011	LogReg
ECFP_355	0.0134865607689746	LogReg
ECFP_297	0.0134129425057725	LogReg
ECFP_713	0.0133149912061342	LogReg
ECFP_458	0.01324155	XGB
ECFP_956	0.013182813	XGB
ECFP_707	0.013154378	XGB
ECFP_845	0.0131320631889672	LogReg
ECFP_721	0.0131192567605272	LogReg
ECFP_342	0.0130484862601255	LogReg
ECFP_77	0.013037192	XGB
ECFP_350	0.0130349738838457	LogReg
ECFP_266	0.0130070586944706	LogReg
ECFP_703	0.0129976500853828	LogReg
ECFP_684	0.0129848473341947	LogReg
ECFP_767	0.0129758989924386	LogReg
ECFP_11	0.012878858	XGB
ECFP_693	0.0128060359992864	LogReg
ECFP_946	0.012801905	XGB
ECFP_171	0.0127702015125481	LogReg
ECFP_463	0.0127590920082463	LogReg
ECFP_71	0.0127245965762294	LogReg
ECFP_216	0.0126331823613563	LogReg
ECFP_144	0.0126098789927672	LogReg
ECFP_301	0.012516039791765	LogReg
ECFP_109	0.0125066382664462	LogReg
ECFP_492	0.012494249	XGB
ECFP_785	0.0124792206594128	LogReg
ECFP_322	0.012477589	XGB
ECFP_151	0.0124416350219176	LogReg
ECFP_46	0.0124189793097912	LogReg
ECFP_694	0.012406663	XGB
ECFP_383	0.0123578352058759	LogReg
ECFP_699	0.0121928435	XGB
ECFP_47	0.0121638331618439	LogReg
ECFP_105	0.0120232650942673	LogReg
ECFP_827	0.011925371	XGB
ECFP_680	0.0119063693412666	LogReg
ECFP_406	0.01189982	XGB
ECFP_857	0.0118924266838763	LogReg
ECFP_36	0.011829891	XGB
ECFP_551	0.0118258841020287	LogReg
ECFP_852	0.0117998935945641	LogReg
ECFP_502	0.0117838485	XGB
ECFP_231	0.0117748418851139	LogReg
ECFP_10	0.011737525	XGB
ECFP_193	0.011700818	XGB
ECFP_675	0.01166622	XGB
ECFP_489	0.011634978	XGB
ECFP_652	0.0116204313393622	LogReg
ECFP_225	0.0116176089178426	LogReg
ECFP_336	0.0116054637574565	LogReg
ECFP_202	0.0115975305747236	LogReg
ECFP_588	0.0115608121120141	LogReg
ECFP_216	0.011555149	XGB
ECFP_322	0.0115111723648324	LogReg
ECFP_356	0.0114250039614239	RF
ECFP_494	0.011370617	XGB
ECFP_707	0.0113505647645157	LogReg
ECFP_355	0.011326082	XGB
ECFP_546	0.011156859443761	LogReg
ECFP_4	0.0111370920162788	LogReg
ECFP_298	0.011038563881255	LogReg
ECFP_573	0.01101686	XGB
ECFP_110	0.011002503	XGB
ECFP_34	0.0109818242502355	LogReg
ECFP_342	0.010936806	XGB
ECFP_494	0.0108445001684283	LogReg
ECFP_184	0.0108391385292444	LogReg
ECFP_71	0.010792723	XGB
ECFP_669	0.0107836191097777	LogReg
ECFP_4	0.010778414	XGB
ECFP_255	0.0107781019758281	LogReg
ECFP_86	0.0107530054675553	LogReg
ECFP_692	0.0107436307577966	LogReg
ECFP_533	0.010624181	XGB
ECFP_998	0.0106061062638233	LogReg
ECFP_78	0.0105539208450201	LogReg
ECFP_884	0.0105530939299757	LogReg
ECFP_267	0.0105490006702599	LogReg
ECFP_534	0.0105231741276353	LogReg
ECFP_435	0.0105167526227182	LogReg
ECFP_583	0.0105059742186989	LogReg
ECFP_42	0.010498992917694	LogReg
ECFP_589	0.0104294885	XGB
ECFP_465	0.010425335636362	LogReg
ECFP_747	0.010405992365519	LogReg
ECFP_266	0.010404208	XGB
ECFP_705	0.0103920652042296	LogReg
ECFP_114	0.010390092	XGB
ECFP_573	0.0103568412938637	LogReg
ECFP_825	0.010346107077648	LogReg
ECFP_827	0.0103323806217526	LogReg
ECFP_7	0.0103081499903748	LogReg
ECFP_912	0.0102480617479023	LogReg
ECFP_256	0.0102434252808221	LogReg
ECFP_460	0.0102281997465298	LogReg
ECFP_715	0.0102086678566385	LogReg
ECFP_837	0.0101846724704176	LogReg
ECFP_49	0.010118142	XGB
ECFP_33	0.010075251	XGB
ECFP_703	0.01006064	XGB
ECFP_345	0.0100331329719923	LogReg
ECFP_989	0.0100075477845248	LogReg
ECFP_191	0.009974079	XGB
ECFP_638	0.00993987883476	LogReg
ECFP_974	0.009923317	XGB
ECFP_714	0.0098664066411596	LogReg
ECFP_360	0.0098114352460664	LogReg
ECFP_77	0.0097722422116477	LogReg
ECFP_352	0.00973721	XGB
ECFP_263	0.009712577	XGB
ECFP_801	0.009697008	XGB
ECFP_917	0.009696772	XGB
ECFP_974	0.0096767477588901	LogReg
ECFP_433	0.0096103445366128	LogReg
ECFP_105	0.009528738	XGB
ECFP_417	0.0095047302613931	LogReg
ECFP_154	0.0094999000037326	LogReg
ECFP_592	0.0094645288932788	LogReg
ECFP_878	0.009436835	XGB
ECFP_842	0.0094329464055239	LogReg
ECFP_357	0.0094064502785463	LogReg
ECFP_114	0.0094014195278226	LogReg
ECFP_474	0.009382157747141	LogReg
ECFP_221	0.0093806379380263	LogReg
ECFP_192	0.0093472409152894	LogReg
ECFP_661	0.009343216	XGB
ECFP_463	0.009306445	XGB
ECFP_49	0.0092647129474777	LogReg
ECFP_210	0.0092194895075001	LogReg
ECFP_354	0.0091768931657587	LogReg
ECFP_841	0.0091726401549893	LogReg
ECFP_419	0.0091548984784555	LogReg
ECFP_420	0.009130553740492	LogReg
ECFP_728	0.0091290966326667	LogReg
ECFP_151	0.009111064	XGB
ECFP_47	0.009033035	XGB
ECFP_202	0.009026012	XGB
ECFP_212	0.009026008	XGB
ECFP_898	0.0090072984167753	LogReg
ECFP_100	0.0089827630466017	LogReg
ECFP_992	0.0089651154331502	LogReg
ECFP_855	0.0089572165529652	LogReg
ECFP_891	0.0089141328556645	LogReg
ECFP_336	0.008893611	XGB
ECFP_414	0.0088757035245594	LogReg
ECFP_698	0.008866616	XGB
ECFP_949	0.0088347317267002	LogReg
ECFP_1012	0.008808023925965	LogReg
ECFP_106	0.0088035331860566	LogReg
ECFP_225	0.00878081	XGB
ECFP_625	0.0087696295911562	LogReg
ECFP_67	0.0087540930091879	LogReg
ECFP_26	0.0087483744459286	LogReg
ECFP_23	0.0086921585804455	LogReg
ECFP_780	0.0086003193640038	LogReg
ECFP_13	0.0085600192675838	LogReg
ECFP_350	0.008544179	XGB
ECFP_751	0.0084980612371455	LogReg
ECFP_275	0.0084660390501993	LogReg
ECFP_376	0.0083987112640156	LogReg
ECFP_212	0.0083955127871518	LogReg
ECFP_75	0.008385538391874	LogReg
ECFP_607	0.0083683069260941	LogReg
ECFP_867	0.0083656542750148	LogReg
ECFP_9	0.0083560260961908	LogReg
ECFP_976	0.0083422025954711	LogReg
ECFP_621	0.0083150397766092	LogReg
ECFP_311	0.008302113	XGB
ECFP_504	0.008295702	XGB
ECFP_725	0.0082551397600805	LogReg
ECFP_32	0.008226824	XGB
ECFP_371	0.008219561	XGB
ECFP_577	0.0081925925877178	LogReg
ECFP_0	0.0081506245538801	LogReg
ECFP_912	0.00815	XGB
ECFP_606	0.0081280637324159	LogReg
ECFP_978	0.0081136849968915	LogReg
ECFP_820	0.0080689285	XGB
ECFP_386	0.0080306804116847	LogReg
ECFP_23	0.007997161	XGB
ECFP_753	0.007990016	XGB
ECFP_231	0.007979278	XGB
ECFP_289	0.0079637719951217	LogReg
ECFP_657	0.0079523537611833	LogReg
ECFP_966	0.007941106295841	LogReg
ECFP_152	0.0079327528095092	LogReg
ECFP_784	0.0079220002774353	LogReg
ECFP_84	0.007908484	XGB
ECFP_302	0.0079049556962964	LogReg
ECFP_220	0.0078945458750608	LogReg
ECFP_747	0.007812447	XGB
ECFP_562	0.0078037256247584	LogReg
