Feature	MeanAbsSHAP_RF
SMILES	0.006820775233171211
ECFP_0	0.0005076149680149137
ECFP_1	0.0060812422636054575
ECFP_2	0.0007014917498240649
ECFP_3	0.00028046810817375557
ECFP_4	0.0009786057314638023
ECFP_5	0.0009344025905318867
ECFP_6	0.00024387460655902956
ECFP_7	0.000836337242248461
ECFP_8	0.0002305132581056551
ECFP_9	0.0015904921329696232
ECFP_10	0.001623231854568033
ECFP_11	0.00030860761176078105
ECFP_12	0.0008434117838422919
ECFP_13	0.0006334341599513949
ECFP_14	0.0017525697662317305
ECFP_15	0.00046984790732669415
ECFP_16	0.0001235517342516598
ECFP_17	7.109349375743497e-05
ECFP_18	0.00026649413297906736
ECFP_19	0.0003384969093947783
ECFP_20	0.000311511915148435
ECFP_21	0.0002282612404337693
ECFP_22	0.0002862097814312309
ECFP_23	0.0010597757647586065
ECFP_24	0.0005613830655786333
ECFP_25	0.00011102177332667339
ECFP_26	0.0009456847595375212
ECFP_27	9.708900192843535e-05
ECFP_28	0.00016501272507099402
ECFP_29	0.00014502639249952833
ECFP_30	0.0001477817991976546
ECFP_31	0.00029011548557020543
ECFP_32	0.0005195742620686068
ECFP_33	0.0009471683710167385
ECFP_34	0.0007422677698249842
ECFP_35	0.00014092704377312426
ECFP_36	0.0009588141780205644
ECFP_37	0.0012233962297491937
ECFP_38	0.0001659457175368567
ECFP_39	8.578791883178644e-05
ECFP_40	0.00024109381500880643
ECFP_41	0.0022815698097618203
ECFP_42	0.0006339213585385782
ECFP_43	0.00014683057126271706
ECFP_44	0.00011450360395246425
ECFP_45	0.0006287967368428851
ECFP_46	0.0006555027659209329
ECFP_47	0.0010148085599498452
ECFP_48	0.00025304422605281157
ECFP_49	0.0008575767617008057
ECFP_50	0.00014839906523933294
ECFP_51	0.00024142195914475263
ECFP_52	0.00041304831048809173
ECFP_53	0.00031112171807655685
ECFP_54	0.0003132337448398575
ECFP_55	0.0006185935087445332
ECFP_56	0.00023905919275162102
ECFP_57	0.00017390046788625418
ECFP_58	0.00017872380153398468
ECFP_59	0.00021743623482611021
ECFP_60	0.00011027974524838544
ECFP_61	0.00027249858097966876
ECFP_62	0.00030131131911123935
ECFP_63	0.00016359407273385348
ECFP_64	0.001557332199780701
ECFP_65	0.00022912509635264274
ECFP_66	0.00010894745582450789
ECFP_67	0.0008498019861875575
ECFP_68	0.00023732921283592897
ECFP_69	0.0002241143493820786
ECFP_70	0.0002234640667739593
ECFP_71	0.0007702072754114037
ECFP_72	0.00033277502770114807
ECFP_73	0.0009693963417383272
ECFP_74	0.00026503673422142846
ECFP_75	0.0005522394636092965
ECFP_76	0.00018934294790280137
ECFP_77	0.0007396706689952754
ECFP_78	0.0007975122826695749
ECFP_79	0.0008706865300308851
ECFP_80	0.00711133397151936
ECFP_81	0.0002652393517516314
ECFP_82	0.00022837304041526118
ECFP_83	0.00014948245776882823
ECFP_84	0.0003916790399293603
ECFP_85	0.0002641639568264063
ECFP_86	0.0004958261519229154
ECFP_87	0.0002658312533497217
ECFP_88	0.00017402263041548915
ECFP_89	0.00020347579489656095
ECFP_90	0.0016647424958825742
ECFP_91	0.00038961982638481855
ECFP_92	0.0005372856393952147
ECFP_93	0.0002883555572253848
ECFP_94	0.00037369904172412395
ECFP_95	0.00014663738794808942
ECFP_96	0.00045726982419576275
ECFP_97	0.00039006704575229016
ECFP_98	0.000134801277888649
ECFP_99	0.00016478329600269533
ECFP_100	0.0005463122590715498
ECFP_101	9.661841424222616e-05
ECFP_102	0.0004213521790698083
ECFP_103	0.0001349411882904069
ECFP_104	0.00025936282964869216
ECFP_105	0.0007653466251870093
ECFP_106	0.0005112780660541325
ECFP_107	9.280902408803483e-05
ECFP_108	0.00022484227780452813
ECFP_109	0.0006856678948526057
ECFP_110	0.0007953876173472183
ECFP_111	0.00019307464655061212
ECFP_112	0.00039516701713935675
ECFP_113	0.0001662447684686937
ECFP_114	0.0005743286338673241
ECFP_115	0.00022732257058939812
