Feature	MeanAbsSHAP_LogReg
SMILES	0.25837997328786055
ECFP_0	0.008151035667710029
ECFP_1	0.10468676146386605
ECFP_2	0.004865251068250089
ECFP_3	0.002665091291363183
ECFP_4	0.011135457630053355
ECFP_5	0.016598361583385124
ECFP_6	0.0021541300250379506
ECFP_7	0.010308020743980675
ECFP_8	0.00478508955983252
ECFP_9	0.00835607511136204
ECFP_10	0.024313838988854832
ECFP_11	0.016268072709898607
ECFP_12	0.014560450927473236
ECFP_13	0.0085610149308237
ECFP_14	0.017844193546456725
ECFP_15	0.0068269957797341295
ECFP_16	0.0014789953971416526
ECFP_17	0.00036729400032915174
ECFP_18	0.005027045258336954
ECFP_19	0.0029475915913719634
ECFP_20	0.0011579201653620004
ECFP_21	0.003500601316927085
ECFP_22	0.0027021471990350816
ECFP_23	0.008690874037055684
ECFP_24	0.0032373976532834594
ECFP_25	0.0013209212444983934
ECFP_26	0.008748503678210517
ECFP_27	0.0033779083755543365
ECFP_28	0.0012113847561015223
ECFP_29	0.001607944357251582
ECFP_30	0.0013089063276358129
ECFP_31	0.0036085680904880658
ECFP_32	0.016450233277124846
ECFP_33	0.06755283736833832
ECFP_34	0.01098122779468327
ECFP_35	0.002670292778075431
ECFP_36	0.025741835525623747
ECFP_37	0.007112634510782642
ECFP_38	0.0011714343981148343
ECFP_39	0.0015619951350577324
ECFP_40	0.0015563711258036884
ECFP_41	0.03559051368757606
ECFP_42	0.010496589596299455
ECFP_43	0.0006519147603098121
ECFP_44	0.0024882402620507523
ECFP_45	0.0034705533003196107
ECFP_46	0.01241959858622786
ECFP_47	0.012164194721945163
ECFP_48	0.0028012291374774467
ECFP_49	0.009264691131748104
ECFP_50	0.0016057362470777796
ECFP_51	0.0018802676714640934
ECFP_52	0.0053822103800709635
ECFP_53	0.005424783342751863
ECFP_54	0.0028779712502707555
ECFP_55	0.005057782240771655
ECFP_56	0.001787039417362626
ECFP_57	0.002377043292625313
ECFP_58	0.005364877522636501
ECFP_59	0.004379741137861431
ECFP_60	0.0022249708902050617
ECFP_61	0.003122495139982564
ECFP_62	0.0037873306961855495
ECFP_63	0.004852957482689473
ECFP_64	0.04901787283038211
ECFP_65	0.006331574065668725
