Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,FeatureSet,Model,Fold
0.7333333333333333,0.7175925925925926,0.6764705882352942,0.6388888888888888,0.6571428571428571,0.7998971193415637,0.7320889423525573,Combined_Naive,LogReg,fold1
0.7444444444444445,0.7407407407407407,0.6666666666666666,0.7222222222222222,0.6933333333333334,0.8081275720164609,0.7969645999863453,Combined_Naive,LogReg,fold2
0.7444444444444445,0.7544620091789903,0.6521739130434783,0.8108108108108109,0.7228915662650602,0.8373278939316675,0.7336662898438863,Combined_Naive,LogReg,fold3
0.6666666666666666,0.6639469658337582,0.5853658536585366,0.6486486486486487,0.6153846153846154,0.7343192248852626,0.6295145906931503,Combined_Naive,LogReg,fold4
0.7666666666666667,0.7651708312085671,0.7,0.7567567567567568,0.7272727272727273,0.8597654258031617,0.7988915020198957,Combined_Naive,LogReg,fold5
0.7555555555555555,0.7314814814814815,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.7968106995884773,0.7695337673232069,Combined_Naive,RF,fold1
0.7,0.6759259259259259,0.6451612903225806,0.5555555555555556,0.5970149253731343,0.8225308641975309,0.7728762614261159,Combined_Naive,RF,fold2
0.8555555555555555,0.8324834268230494,0.9285714285714286,0.7027027027027027,0.8,0.8730239673635901,0.8495662427701474,Combined_Naive,RF,fold3
0.6888888888888889,0.6705762366139725,0.6363636363636364,0.5675675675675675,0.6,0.774604793472718,0.6883976241736562,Combined_Naive,RF,fold4
0.8111111111111111,0.7865884752677206,0.8571428571428571,0.6486486486486487,0.7384615384615385,0.9242733299337074,0.9036031016341124,Combined_Naive,RF,fold5
0.6888888888888889,0.6712962962962963,0.6176470588235294,0.5833333333333334,0.6,0.7705761316872428,0.6945004456830387,Combined_Naive,XGB,fold1
0.7,0.6759259259259259,0.6451612903225806,0.5555555555555556,0.5970149253731343,0.7767489711934157,0.7298438758798655,Combined_Naive,XGB,fold2
0.8,0.773074961754207,0.8518518518518519,0.6216216216216216,0.71875,0.8541560428352881,0.784699944021668,Combined_Naive,XGB,fold3
0.6666666666666666,0.647628760836308,0.6060606060606061,0.5405405405405406,0.5714285714285714,0.7276899541050484,0.6431539765864343,Combined_Naive,XGB,fold4
0.8,0.7975522692503825,0.7435897435897436,0.7837837837837838,0.7631578947368421,0.8720040795512494,0.8116621505321608,Combined_Naive,XGB,fold5
0.7222222222222222,0.712962962962963,0.6486486486486487,0.6666666666666666,0.6575342465753424,0.779320987654321,0.6808228423909297,Combined_Scaled,LogReg,fold1
0.7333333333333333,0.7268518518518519,0.6578947368421053,0.6944444444444444,0.6756756756756757,0.8179012345679012,0.7746049869662727,Combined_Scaled,LogReg,fold2
0.7555555555555555,0.7598164201937787,0.6744186046511628,0.7837837837837838,0.725,0.834778174400816,0.8025499793914319,Combined_Scaled,LogReg,fold3
0.7,0.6922488526262112,0.631578947368421,0.6486486486486487,0.64,0.7577766445690974,0.6727800163129183,Combined_Scaled,LogReg,fold4
0.7333333333333333,0.7287098419173892,0.6666666666666666,0.7027027027027027,0.6842105263157895,0.8480367159612443,0.7833473670297328,Combined_Scaled,LogReg,fold5
0.7555555555555555,0.7314814814814815,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.7973251028806584,0.7702048667312873,Combined_Scaled,RF,fold1
0.7,0.6759259259259259,0.6451612903225806,0.5555555555555556,0.5970149253731343,0.823045267489712,0.773301749944964,Combined_Scaled,RF,fold2
0.8555555555555555,0.8324834268230494,0.9285714285714286,0.7027027027027027,0.8,0.8740438551759306,0.8506918349341464,Combined_Scaled,RF,fold3
0.6888888888888889,0.6705762366139725,0.6363636363636364,0.5675675675675675,0.6,0.7740948495665477,0.6880502022836812,Combined_Scaled,RF,fold4
0.8111111111111111,0.7865884752677206,0.8571428571428571,0.6486486486486487,0.7384615384615385,0.9240183579806222,0.904197615429938,Combined_Scaled,RF,fold5
0.6888888888888889,0.6712962962962963,0.6176470588235294,0.5833333333333334,0.6,0.7705761316872428,0.6945004456830387,Combined_Scaled,XGB,fold1
0.7,0.6759259259259259,0.6451612903225806,0.5555555555555556,0.5970149253731343,0.7767489711934157,0.7298438758798655,Combined_Scaled,XGB,fold2
0.8,0.773074961754207,0.8518518518518519,0.6216216216216216,0.71875,0.8541560428352881,0.784699944021668,Combined_Scaled,XGB,fold3
0.6666666666666666,0.647628760836308,0.6060606060606061,0.5405405405405406,0.5714285714285714,0.7276899541050484,0.6431539765864343,Combined_Scaled,XGB,fold4
0.8,0.7975522692503825,0.7435897435897436,0.7837837837837838,0.7631578947368421,0.8720040795512494,0.8116621505321608,Combined_Scaled,XGB,fold5
0.7222222222222222,0.712962962962963,0.6486486486486487,0.6666666666666666,0.6575342465753424,0.7839506172839505,0.7077828792108641,Descriptors,LogReg,fold1
0.7222222222222222,0.7222222222222222,0.6341463414634146,0.7222222222222222,0.6753246753246753,0.7911522633744855,0.7812511228347953,Descriptors,LogReg,fold2
0.6333333333333333,0.6519632840387557,0.5384615384615384,0.7567567567567568,0.6292134831460674,0.7429882712901581,0.6121746595942503,Descriptors,LogReg,fold3
0.6111111111111112,0.6045385007649158,0.525,0.5675675675675675,0.5454545454545454,0.6399796022437532,0.5028162202330819,Descriptors,LogReg,fold4
0.7555555555555555,0.7598164201937787,0.6744186046511628,0.7837837837837838,0.725,0.8587455379908211,0.7761938262504904,Descriptors,LogReg,fold5
0.6666666666666666,0.6342592592592593,0.6071428571428571,0.4722222222222222,0.53125,0.7548868312757202,0.6989984348526231,Descriptors,RF,fold1
0.6555555555555556,0.6203703703703703,0.5925925925925926,0.4444444444444444,0.5079365079365079,0.7772633744855967,0.7155932829223652,Descriptors,RF,fold2
0.7222222222222222,0.702957674655788,0.6875,0.5945945945945946,0.6376811594202898,0.8062213156552779,0.7478365565042859,Descriptors,RF,fold3
0.6111111111111112,0.5800611932687405,0.5357142857142857,0.40540540540540543,0.46153846153846156,0.6710861805201428,0.6014062272931477,Descriptors,RF,fold4
0.8111111111111111,0.7988271290158082,0.7941176470588235,0.7297297297297297,0.7605633802816901,0.8852626211116776,0.795604128356592,Descriptors,RF,fold5
0.6555555555555556,0.625,0.5862068965517241,0.4722222222222222,0.5230769230769231,0.7119341563786008,0.6554953368958605,Descriptors,XGB,fold1
0.7222222222222222,0.6898148148148149,0.7037037037037037,0.5277777777777778,0.6031746031746031,0.757201646090535,0.7010122650314383,Descriptors,XGB,fold2
0.6777777777777778,0.6611422743498215,0.6176470588235294,0.5675675675675675,0.5915492957746479,0.7623661397246304,0.702547081144681,Descriptors,XGB,fold3
0.6222222222222222,0.593574706782254,0.5517241379310345,0.43243243243243246,0.48484848484848486,0.6823049464558898,0.6285657542910839,Descriptors,XGB,fold4
0.8111111111111111,0.7988271290158082,0.7941176470588235,0.7297297297297297,0.7605633802816901,0.8582355940846508,0.8318484244127298,Descriptors,XGB,fold5
0.7222222222222222,0.712962962962963,0.6486486486486487,0.6666666666666666,0.6575342465753424,0.7901234567901235,0.6908059647879288,ECFP,LogReg,fold1
0.7222222222222222,0.7175925925925926,0.6410256410256411,0.6944444444444444,0.6666666666666666,0.8137860082304527,0.7113839011700606,ECFP,LogReg,fold2
0.7555555555555555,0.7557368689444162,0.6829268292682927,0.7567567567567568,0.717948717948718,0.8434472208057113,0.8351383591816768,ECFP,LogReg,fold3
0.6666666666666666,0.6639469658337582,0.5853658536585366,0.6486486486486487,0.6153846153846154,0.734829168791433,0.6245020582575087,ECFP,LogReg,fold4
0.7333333333333333,0.7246302906680265,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.8118306986231514,0.7370375270873721,ECFP,LogReg,fold5
0.7444444444444445,0.7175925925925926,0.7241379310344828,0.5833333333333334,0.6461538461538462,0.790380658436214,0.7553875376068506,ECFP,RF,fold1
0.7555555555555555,0.7222222222222222,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.86059670781893,0.8061824763424907,ECFP,RF,fold2
0.7888888888888889,0.7595614482406936,0.8461538461538461,0.5945945945945946,0.6984126984126984,0.8561958184599695,0.8282359925075544,ECFP,RF,fold3
0.6888888888888889,0.6624171341152474,0.6551724137931034,0.5135135135135135,0.5757575757575758,0.7613462519122897,0.64375371704841,ECFP,RF,fold4
0.7666666666666667,0.7284548699643039,0.8636363636363636,0.5135135135135135,0.6440677966101694,0.8867924528301887,0.8359271533164838,ECFP,RF,fold5
0.6555555555555556,0.6388888888888888,0.5714285714285714,0.5555555555555556,0.5633802816901409,0.7762345679012346,0.7065269982135443,ECFP,XGB,fold1
0.7666666666666667,0.7407407407407407,0.7586206896551724,0.6111111111111112,0.676923076923077,0.830761316872428,0.7207677020235397,ECFP,XGB,fold2
0.8111111111111111,0.7906680265170831,0.8333333333333334,0.6756756756756757,0.746268656716418,0.8419173890872005,0.7732678324541078,ECFP,XGB,fold3
0.6666666666666666,0.647628760836308,0.6060606060606061,0.5405405405405406,0.5714285714285714,0.7496175420703722,0.7117646285009451,ECFP,XGB,fold4
0.8,0.7853136155022948,0.7878787878787878,0.7027027027027027,0.7428571428571429,0.8373278939316675,0.7248919077664445,ECFP,XGB,fold5
