Feature	MeanAbsSHAP_XGB
ECFP_251	0.0003682214
ECFP_252	0.00044185604
ECFP_253	0.003327693
ECFP_254	0.0
ECFP_255	0.014636609
ECFP_256	0.007579093
ECFP_257	0.0
ECFP_258	0.00042848306
ECFP_259	0.0
ECFP_260	0.0
ECFP_261	0.0
ECFP_262	0.0
ECFP_263	0.011104434
ECFP_264	0.0003456496
ECFP_265	0.0026117824
ECFP_266	0.005742183
ECFP_267	0.0069047012
ECFP_268	0.015341088
ECFP_269	0.0
ECFP_270	0.00020709899
ECFP_271	0.0022052252
ECFP_272	0.0
ECFP_273	0.0
ECFP_274	0.0064662173
ECFP_275	0.0033766448
ECFP_276	0.0
ECFP_277	0.0003176996
ECFP_278	0.0
ECFP_279	0.0003365174
ECFP_280	0.0004450045
ECFP_281	0.0012263095
ECFP_282	0.00044017038
ECFP_283	0.02389555
ECFP_284	0.116824605
ECFP_285	0.0027674707
ECFP_286	0.0
ECFP_287	0.0
ECFP_288	0.02152212
ECFP_289	0.0058599175
ECFP_290	0.0
ECFP_291	0.0
ECFP_292	0.0013462789
ECFP_293	0.0
ECFP_294	0.049398266
ECFP_295	0.031885903
ECFP_296	0.0
ECFP_297	0.019023051
ECFP_298	0.0026254277
ECFP_299	0.0008811387
ECFP_300	0.0015968243
ECFP_301	0.015440708
ECFP_302	0.0017371408
ECFP_303	0.0
ECFP_304	0.00042113493
ECFP_305	0.001382019
ECFP_306	0.0
ECFP_307	0.0050663007
ECFP_308	0.0018023473
ECFP_309	0.001346621
ECFP_310	0.003389194
ECFP_311	0.009816276
ECFP_312	0.00038635047
ECFP_313	0.0
ECFP_314	0.05573721
ECFP_315	0.0
ECFP_316	0.0015147823
ECFP_317	0.001307243
ECFP_318	0.002545579
ECFP_319	0.003287575
ECFP_320	0.0012914082
ECFP_321	0.0
ECFP_322	0.0114799235
ECFP_323	0.0007033348
ECFP_324	0.0017871283
ECFP_325	0.05608793
ECFP_326	0.0
ECFP_327	0.0009981641
ECFP_328	0.00032393585
ECFP_329	0.0012516303
ECFP_330	0.0
ECFP_331	0.0
ECFP_332	0.00043230303
